Date,Castlereigh,Norton,Maussakele,Canyon,Lakshapana,Upper Kotmale,Victoriya,Kotmale,Randenigala,Rantambe,Bowatenna,Ukuwela,Samanala Wawa,Kukuleganaga,Maskeliya,Neboda
10/21/2024,4,22.5,5.5,3.3,9,3.3,1.2,2.8,2.3,5.3,0,0,0,35,NA,NA
10/22/2024,5,5.3,7,1,9,2.6,0,20.5,42,13,0,0,36.5,1,NA,NA
10/23/2024,1,2,7.5,2.3,3.7,2.2,0,2.1,0,0,0,2.1,0,2,NA,NA
10/24/2024,2,1,1,1.2,0.4,0,11.4,0,20,1.9,0,3.1,11.5,22,NA,NA
10/25/2024,0.5,2.8,0.5,0,5,0,0,0,0,0,0,0,0,8,NA,NA
10/26/2024,28.2,53.6,21,46.3,35.7,11,0.6,23.6,0,0,21.4,16.5,10,65,NA,NA
10/27/2024,21,23.5,8,11.3,32.8,7.7,2.8,28,0,0,16,36.7,0,30,NA,NA
10/28/2024,3,10.7,6.2,4.2,11.1,6.1,0,3,0,0,12.2,1.7,0,29,NA,25
10/29/2024,4,4.5,9,10.2,6.5,0,0,0,0,0,8.9,0,0,21,NA,NA
10/30/2024,0.5,0,0,0.8,0,0,0,0,0,0,0,0,0,0,NA,NA
10/31/2024,0,0,0,0,0,0,0,0,0,1.2,0,0,0,1,NA,0
11/01/2024,28.5,65.6,19,40.3,104.4,20.6,3.1,41.3,4,3.9,7.2,31.6,10,93,NA,NA
11/02/2024,13.5,24.2,3.7,17.3,16.1,10.2,11.2,26,88,26,26.5,70.5,22.5,23,NA,7
11/03/2024,49,34.5,20.5,35.5,26.5,26,16,47.6,24.6,24,45.8,9,50,18,NA,NA
11/04/2024,0,7.2,0.5,0.7,33.1,1.5,8.3,38,33.5,34.2,13.8,15.3,7.5,25,0.5,NA
11/05/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/06/2024,3.5,9.6,21.5,23.6,15,39.4,1,41.5,0,0,23.2,0,28.5,6,NA,NA
11/07/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
11/08/2024,NA,0,0,0,0,0,0,0,0,0,17.8,1.6,0,0,NA,NA
11/09/2024,NA,63.8,37,47,67,5.2,64,46,70.5,55,28.5,121,8,12,NA,NA
11/10/2024,NA,0,0,0,0,0,0,0,0,2.2,1.8,0,0,0,NA,NA
11/11/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,5
11/12/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/12/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
11/13/2024,NA,26.4,20.3,39.5,8.9,9.9,60,49.5,51.3,41,15.9,12.3,65,8,NA,NA
11/14/2024,NA,10.4,3.1,3,3,9.3,23.3,33.5,0,0,39.2,20,2,48,NA,NA
11/15/2024,NA,6.8,21,4.5,11,0,18,11.5,8.8,9.6,0,0,1.5,20,NA,3
11/16/2024,NA,10.5,18.5,17,10.2,12.8,1.9,19.5,0,0,83.9,53.7,8,3,NA,0
11/17/2024,NA,32.7,3,4.6,16,4.5,0.4,8.7,0,0,4.3,0,14,9,NA,0
11/18/2024,NA,0,0,0,0,0,0,0,2.3,0,3.8,0,25.5,25,NA,(AWS)
11/19/2024,NA,15.9,19.8,8.7,15.7,0,0,1,1.3,0,4.6,1.8,51,24,NA,NA
11/20/2024,NA,40.4,6.5,40.1,23.5,11.9,1.1,1,7.2,10.6,6.2,33.5,49,10,NA,NA
11/21/2024,24,33.6,8.5,28.2,55,1,0,1.2,1,1.2,13.4,3.6,17.5,8,NA,NA
11/22/2024,7.2,4.5,8.7,11,23.3,29.2,16.5,13.5,23.3,43.8,0,11.3,5,4,NA,NA
11/23/2024,1,1.8,1.5,2,3,0.9,4.6,2.7,6.6,8.1,2.8,2.5,0,7,NA,NA
11/24/2024,2,1.5,2.5,2,2,5,14.5,0,17.5,20.5,14.2,13,10,17,NA,NA
11/25/2024,11,8.5,9,8.9,7,17.2,13.2,9.3,20,22.4,30.7,8.5,10,7,NA,NA
11/26/2024,61,61.8,54,48,57.9,76.9,162.6,92.7,192,170.8,167.8,162.5,45,18,NA,NA
11/27/2024,108,157,118.5,163.3,132,92.9,70.2,112,67.4,63.5,133.6,167,10,29,NA,224
11/28/2024,49.5,51.4,57.5,84.5,85.3,49,20.3,82.5,2.4,5.2,68.5,43,0,14,NA,20
11/29/2024,23,14.3,24.7,27.2,14.6,24.3,8.8,34.2,0,0,35.6,27.3,0,0,NA,NA
11/30/2024,15,27.2,10.5,19.3,8.3,10.3,0,7.5,0,0,1.3,6.2,0,8,NA,(AWS)
12/01/2024,16,28.3,15.5,19.7,30.1,16.9,20,16.5,0,0,0,17.3,4,28,NA,NA
12/02/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/03/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
12/04/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2024,0,0,0.5,0,0,0,0,0,0,0,1.1,0,2,5,NA,NA
12/06/2024,5,0,3.5,4.4,0,0,0,0,0,0,0,0,32.5,35,NA,NA
12/07/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
12/08/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
12/09/2024,0,0,0,0,0,0,0,0,3.6,0,8.8,0.7,5.5,3,NA,(AWS)
12/10/2024,0,0.5,0,0.5,1.5,0,0,0,0,0,0,0,5.5,0,NA,NA
12/11/2024,0,0,0,0,1.9,0,0,7,0,0,7.8,0,0,0,NA,0
12/12/2024,0,0,0,0,0,0,0,1,0,0,2.7,8.3,21,0,NA,NA
12/13/2024,0,5.4,0,0,1.2,0,0.4,0,0.5,0.6,36.4,0,0,0,NA,NA
12/14/2024,12.5,20.5,14.5,15.7,23.5,32.9,37.8,60,17,38,12.6,31.5,29.5,2,NA,NA
12/15/2024,15,26.7,14.5,11.4,9.9,8.1,18.5,31.2,6.2,8,10.2,3.6,121.5,44,NA,11
12/16/2024,3.5,6,4,3.7,2.5,5.2,9.6,3.5,4.5,6.5,22.5,4.7,0,0,NA,5
12/17/2024,21,12.1,25,27.2,13.9,16,40.4,11.3,57.3,67,25.2,20.5,12,6,NA,63
12/18/2024,NA,0,3,1.2,0,0,0,1,0,0,0.5,5,0,0,NA,NA
12/19/2024,0,0,0,0,0,0,0,0,0,0,0,0,4,0,NA,(AWS)
12/20/2024,2,10.2,2.7,5,5.1,0,0,0,0,0,2.4,0,0,9,NA,(AWS)
12/21/2024,4,1.2,8.5,4.2,8.9,0,0,2.5,0,0,5.7,0,12,6,NA,NA
12/22/2024,14.5,18.6,25.2,25.2,20,2.8,0,9.5,12,22.5,4.1,0,14.5,90,NA,NA
12/23/2024,0,0,0,0,0,0,1.1,1,0,0,6.4,3,0,33,NA,NA
12/24/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
12/25/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
12/26/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
12/27/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
12/28/2024,0,0,0,0,0,0,0,0,13.9,8.5,4.8,15.6,0,0,NA,0
12/29/2024,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,NA,NA
12/30/2024,0,0,5.8,0.4,3.7,0,1.9,0,0,0,4.5,4.7,6,0,NA,NA
12/31/2024,0.5,0.2,1.6,0.3,0,1.6,30.5,2,38.8,35,45.3,22.3,1,0,NA,NA
01/01/2025,1.5,4.5,1.5,0,0,2.3,19.5,1.6,26,24.9,26.8,6.7,0,21,NA,NA
01/02/2025,1,1.2,1,1,3.5,1.2,49,14.7,64.2,64.5,40.7,27,1.5,8,NA,30
01/03/2025,1,0.8,1,0.3,0,1.2,1.6,0.6,0,2,0,0,0,0,NA,NA
01/04/2025,0,0,0,0,0,0,0,0,0.5,1.5,0,0,0,4,NA,NA
01/05/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
01/06/2025,0,0,0,0,0,0,0,0,0,0,0,0,8,0,NA,NA
01/07/2025,0,0,0,0,0,0,0,0,0,0,0,0,12,0,NA,NA
01/08/2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.7,0.0,0.0,0.0,0.0,NA,NA
01/09/2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.8,0.0,0.0,2.5,0.0,NA,NA
01/10/2025,0.0,0.0,0.0,0.0,1.5,0.5,1.8,14.5,9.7,11.8,6.8,0.0,0.0,3.0,NA,NA
01/11/2025,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,21.0,12.5,30.9,0.0,0.0,0.0,NA,1.0
01/12/2025,11.0,5.2,7.2,4.1,2.6,15.4,28.2,0.0,38.0,44.2,35.7,43.6,0.0,6.0,NA,NA
