Date,Variable,Anuradhapura,Badulla,Bandarawela,Batticaloa,Colombo,Galle,Hambantota,Jaffna,Moneragala,Katugasthota,Katunayake,Kurunagala,Maha Illuppallama,Mannar,Polonnaruwa,Nuwara Eliya,Pothuvil,Puttalam,Rathmalana,Ratnapura,Trincomalee,Vavuniya,Mattala,Mullaitivu,Total Rainfall,Average Rainfall,Max Rainfall,Min Rainfall,Average Northern Plains,Average Eastern Plains,Average Eastern Hills,Average Western Plains,Average Western Hills,Average Southern Plains,8-Day Average Northern Plains,8-Day Average Eastern Plains,8-Day Average Eastern Hills,8-Day Average Western Plains,8-Day Average Western Hills,8-Day Average Southern Plains
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,5.3,0.22,4.2,0.0,0.0,0.84,0.0,0.22,0.0,0.0,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.8,14.9,0.1,0.0,5.3,0.8,17.0,2.0,0.0,0.1,0.0,1.9,5.2,11.0,12.8,0.0,96.5,4.02,17.3,0.0,4.93,4.6,3.65,0.02,6.27,6.4,,,,,,,,,,,,
0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,2.7,0.0,0.0,0.0,0.3,0.0,0.0,5.3,24.4,1.02,12.4,0.0,0.76,0.76,1.45,2.48,0.0,0.0,,,,,,,,,,,,
0.0,29.8,1.2,18.6,0.0,0.1,0.0,1.4,0.3,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.6,2.73,29.8,0.0,2.7,2.84,0.0,6.24,0.03,0.6,,,,,,,,,,,,
11.3,17.6,17.2,8.9,0.0,13.2,10.2,3.1,8.1,2.6,37.4,9.5,0.0,11.7,1.0,13.0,9.6,12.6,7.2,16.0,288.1,12.0,49.2,0.0,15.59,10.72,11.05,8.64,11.9,12.2,,,,,,,,,,,,
4.4,11.8,2.5,4.1,16.5,9.1,1.3,0.5,86.6,22.1,90.9,19.2,10.8,20.6,4.3,2.4,16.2,15.7,4.3,21.4,470.8,19.62,90.9,0.5,28.79,34.1,19.5,4.46,10.23,3.4,,,,,,,,,,,,
12.6,1.6,12.8,0.0,11.2,21.1,9.4,13.7,18.4,0.0,59.2,29.3,6.9,0.2,16.7,9.6,0.0,0.0,15.8,0.0,279.3,11.64,59.2,0.0,2.66,19.04,11.45,10.8,20.0,14.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,6.3,11.4,6.9,4.8,5.3,,,,,,
0.0,5.4,10.6,0.0,2.7,0.1,0.0,0.0,0.0,0.0,0.0,10.1,7.0,0.0,0.0,0.4,0.0,0.0,4.4,0.0,51.0,2.12,10.6,0.0,0.0,1.94,5.15,1.08,3.53,7.5,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,1.4,0.06,0.6,0.0,0.0,0.0,0.4,0.0,0.2,0.0,,,,,,,,,,,,
0.0,1.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.3,0.0,16.7,0.7,14.5,0.0,0.0,0.0,0.3,0.24,4.83,0.2,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,19.3,2.7,0.0,0.0,27.3,1.14,19.3,0.0,0.39,4.52,0.95,0.0,0.0,0.05,,,,,,,,,,,,
0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.9,0.0,0.0,2.5,0.0,0.7,25.1,0.0,41.7,1.74,25.1,0.0,0.1,1.2,3.05,0.12,1.07,12.55,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2.5,3.6,3.9,1.7,4.3,,,,,,
0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,50.2,0.0,3.6,9.0,0.0,0.5,0.0,0.0,4.0,0.0,0.0,0.0,119.7,4.99,50.2,0.0,13.24,2.58,2.2,0.0,3.23,0.0,,,,,,,,,,,,
